Fecha,Compra,Venta,DiaD,Med,Sueldo,DiaS,Real,Hoy
2022-01,209.0,213.0,31.0,211.0,86400,31,455.0,568750
2022-02,207.0,211.0,25.0,209.0,86400,25,459.3,574125
2022-03,196.0,200.0,31.0,198.0,86400,31,484.8,606000
2022-04,196.5,200.5,29.0,198.0,114048,29,640.0,800000
2022-05,201.0,206.0,31.0,204.0,114048,31,621.2,776500
2022-06,234.0,238.0,30.0,236.0,114048,30,536.9,671125
2022-07,286.0,296.0,29.0,291.0,114048,29,435.5,544375
2022-08,285.0,290.0,31.0,288.0,86400,31,333.3,416625
2022-09,284.0,288.0,30.0,286.0,86400,29,335.7,419625
2022-10,286.0,290.0,31.0,288.0,86400,29,333.3,416625
2022-11,310.0,314.0,30.0,312.0,86400,30,307.7,384625
2022-12,342.0,346.0,30.0,344.0,86400,30,279.1,348875
2023-01,379.0,383.0,31.0,381.0,205128,31,598.2,747750
2023-02,373.0,377.0,28.0,375.0,185328,28,549.1,686375
2023-03,388.0,393.0,31.0,390.0,185328,31,528.0,660000
2023-04,462.0,467.0,27.0,464.0,212229,28,508.2,635250
2023-05,485.0,490.0,31.0,488.0,213129,31,485.3,606625
2023-06,489.0,494.0,30.0,492.0,245097,30,553.5,691875
2023-07,545.0,550.0,31.0,548.0,245097,31,497.0,621250
2023-08,725.0,735.0,31.0,730.0,376013,31,572.3,715375
2023-09,790.0,800.0,29.0,795.0,372060,29,520.0,650000
2023-10,870.0,920.0,31.0,895.0,372060,31,461.9,577375
2023-11,855.0,905.0,30.0,880.0,477000,30,602.3,752875
2023-12,975.0,1025.0,29.0,1000.0,477000,29,530.0,662500
2024-01,1145.0,1195.0,31.0,1170.0,477000,31,453.0,566250
2024-02,1000.0,1030.0,29.0,1015.0,477000,29,522.2,652750
2024-03,980.0,1010.0,27.0,995.0,620100,27,692.5,865625
2024-04,1010.0,1040.0,30.0,1025.0,739350,30,801.5,1001875
2024-05,1195.0,1225.0,31.0,1210.0,739350,31,678.9,848625
2024-06,1335.0,1365.0,28.0,1350.0,739350,28,608.5,760625
2024-07,1340.0,1370.0,31.0,1355.0,739350,31,606.3,757875
2024-08,1275.0,1305.0,30.0,1290.0,858600,30,739.5,924375
