Fecha,Compra,Venta,Med,Sueldo,Real,Hoy
2022-01-31,209.0,213.0,211.0,77760,409.5,511875
2022-02-01,210.0,214.0,212.0,77760,407.5,509375
2022-02-02,212.5,216.5,214.0,77760,403.7,504625
2022-02-03,212.0,216.0,214.0,77760,403.7,504625
2022-02-04,210.0,214.0,212.0,77760,407.5,509375
2022-02-07,210.0,214.0,212.0,77760,407.5,509375
2022-02-08,211.0,215.0,213.0,77760,405.6,507000
2022-02-09,213.0,217.0,215.0,77760,401.9,502375
2022-02-10,211.5,215.5,214.0,77760,403.7,504625
2022-02-11,210.5,215.5,213.0,77760,405.6,507000
2022-02-14,211.0,215.0,213.0,77760,405.6,507000
2022-02-15,211.0,215.0,213.0,77760,405.6,507000
2022-02-16,211.0,215.0,213.0,77760,405.6,507000
2022-02-17,210.0,214.0,212.0,77760,407.5,509375
2022-02-18,207.0,211.0,209.0,77760,413.4,516750
2022-02-21,207.5,211.5,210.0,77760,411.4,514250
2022-02-22,206.0,210.0,208.0,77760,415.4,519250
2022-02-23,206.0,210.0,208.0,77760,415.4,519250
2022-02-24,206.5,210.5,208.0,77760,415.4,519250
2022-02-25,207.0,211.0,209.0,77760,413.4,516750
2022-03-02,202.0,206.0,204.0,77760,423.5,529375
2022-03-03,200.0,204.0,202.0,77760,427.7,534625
2022-03-04,197.0,201.0,199.0,77760,434.2,542750
2022-03-07,197.0,201.0,199.0,77760,434.2,542750
2022-03-08,198.0,202.0,200.0,77760,432.0,540000
2022-03-09,200.5,204.5,202.0,77760,427.7,534625
2022-03-10,199.0,203.0,201.0,77760,429.9,537375
2022-03-11,198.0,202.0,200.0,77760,432.0,540000
2022-03-14,196.0,200.0,198.0,77760,436.4,545500
2022-03-15,196.0,200.0,198.0,77760,436.4,545500
2022-03-16,198.0,202.0,200.0,77760,432.0,540000
2022-03-17,198.0,202.0,200.0,77760,432.0,540000
2022-03-18,198.5,202.5,200.0,77760,432.0,540000
2022-03-21,198.0,202.0,200.0,77760,432.0,540000
2022-03-22,197.0,201.0,199.0,77760,434.2,542750
2022-03-23,197.0,201.0,199.0,77760,434.2,542750
2022-03-25,198.0,202.0,200.0,77760,432.0,540000
2022-03-28,196.0,200.0,198.0,77760,436.4,545500
2022-03-29,196.0,200.0,198.0,77760,436.4,545500
2022-03-30,197.0,201.0,199.0,77760,434.2,542750
2022-03-31,196.0,200.0,198.0,77760,436.4,545500
2022-04-01,196.0,200.0,198.0,77760,436.4,545500
2022-04-04,195.0,199.0,197.0,77760,438.6,548250
2022-04-05,192.0,196.0,194.0,77760,445.4,556750
2022-04-06,192.0,196.0,194.0,77760,445.4,556750
2022-04-07,192.0,196.0,194.0,77760,445.4,556750
2022-04-08,192.5,196.5,194.0,77760,445.4,556750
2022-04-11,191.0,195.0,193.0,77760,447.7,559625
2022-04-12,191.0,195.0,193.0,77760,447.7,559625
2022-04-13,191.0,195.0,193.0,77760,447.7,559625
2022-04-18,191.0,195.0,193.0,77760,447.7,559625
