Fecha,Fecha,Compra,Venta,DiaD,Med,Sueldo,DiaS,Real,Hoy,Pr3
2021-08-01,2021-08-01,176.5,181.5,31,179.0,96000,31,536.3,670375,670375.0
2021-09-01,2021-09-01,182.0,186.0,30,184.0,96000,29,521.7,652125,661250.0
2021-10-01,2021-10-01,193.5,197.5,29,196.0,96000,29,489.8,612250,644916.7
2021-11-01,2021-11-01,197.5,201.5,30,200.0,96000,30,480.0,600000,621458.3
2021-12-01,2021-12-01,204.0,208.0,30,206.0,96000,30,466.0,582500,598250.0
2022-01-01,2022-01-01,209.0,213.0,31,211.0,96000,31,455.0,568750,583750.0
2022-02-01,2022-02-01,207.0,211.0,25,209.0,96000,25,459.3,574125,575125.0
2022-03-01,2022-03-01,196.0,200.0,31,198.0,96000,31,484.8,606000,582958.3
2022-04-01,2022-04-01,196.5,200.5,29,198.0,126720,29,640.0,800000,660041.7
2022-05-01,2022-05-01,201.0,206.0,31,204.0,126720,31,621.2,776500,727500.0
2022-06-01,2022-06-01,234.0,238.0,30,236.0,126720,30,536.9,671125,749208.3
2022-07-01,2022-07-01,286.0,296.0,29,291.0,126720,29,435.5,544375,664000.0
2022-08-01,2022-08-01,285.0,290.0,31,288.0,126720,31,440.0,550000,588500.0
2022-09-01,2022-09-01,284.0,288.0,30,286.0,126720,29,443.1,553875,549416.7
2022-10-01,2022-10-01,286.0,290.0,31,288.0,164736,31,572.0,715000,606291.7
2022-11-01,2022-11-01,310.0,314.0,30,312.0,164736,30,528.0,660000,642958.3
2022-12-01,2022-12-01,342.0,346.0,30,344.0,164736,29,478.9,598625,657875.0
2023-01-01,2023-01-01,379.0,383.0,31,381.0,227920,31,598.2,747750,668791.7
2023-02-01,2023-02-01,373.0,377.0,28,375.0,205920,28,549.1,686375,677583.3
2023-03-01,2023-03-01,388.0,393.0,31,390.0,205920,31,528.0,660000,698041.7
2023-04-01,2023-04-01,462.0,467.0,27,464.0,235810,28,508.2,635250,660541.7
2023-05-01,2023-05-01,485.0,490.0,31,488.0,236810,31,485.3,606625,633958.3
2023-06-01,2023-06-01,489.0,494.0,30,492.0,272330,30,553.5,691875,644583.3
2023-07-01,2023-07-01,545.0,550.0,31,548.0,272330,31,497.0,621250,639916.7
2023-08-01,2023-08-01,725.0,735.0,31,730.0,417793,31,572.3,715375,676166.7
2023-09-01,2023-09-01,790.0,800.0,29,795.0,413400,29,520.0,650000,662208.3
2023-10-01,2023-10-01,870.0,920.0,31,895.0,413400,31,461.9,577375,647583.3
2023-11-01,2023-11-01,855.0,905.0,30,880.0,530000,30,602.3,752875,660083.3
2023-12-01,2023-12-01,975.0,1025.0,29,1000.0,530000,29,530.0,662500,664250.0
2024-01-01,2024-01-01,1145.0,1195.0,31,1170.0,530000,31,453.0,566250,660541.7
2024-02-01,2024-02-01,1000.0,1030.0,29,1015.0,530000,29,522.2,652750,627166.7
2024-03-01,2024-03-01,980.0,1010.0,27,995.0,689000,27,692.5,865625,694875.0
2024-04-01,2024-04-01,1010.0,1040.0,30,1025.0,821500,30,801.5,1001875,840083.3
2024-05-01,2024-05-01,1195.0,1225.0,31,1210.0,821500,31,678.9,848625,905375.0
2024-06-01,2024-06-01,1335.0,1365.0,28,1350.0,821500,28,608.5,760625,870375.0
2024-07-01,2024-07-01,1340.0,1370.0,31,1355.0,821500,31,606.3,757875,789041.7
2024-08-01,2024-08-01,1275.0,1305.0,30,1290.0,954000,30,739.5,924375,814291.7
