Fecha,Compra,Venta,Med,Sueldo,Real,Hoy
2021-08-31,176.5,181.5,179.0,86400,536.3,670375
2021-09-01,175.5,180.5,178.0,86400,539.3,674125
2021-09-02,176.0,181.0,178.0,86400,539.3,674125
2021-09-03,177.0,182.0,180.0,86400,533.3,666625
2021-09-06,178.0,182.0,180.0,86400,533.3,666625
2021-09-07,179.5,183.5,182.0,86400,527.5,659375
2021-09-08,183.0,187.0,185.0,86400,518.9,648625
2021-09-09,182.5,186.5,184.0,86400,521.7,652125
2021-09-10,181.0,185.0,183.0,86400,524.6,655750
2021-09-13,177.0,181.0,179.0,86400,536.3,670375
2021-09-14,178.5,182.5,180.0,86400,533.3,666625
2021-09-15,181.0,185.0,183.0,86400,524.6,655750
2021-09-16,182.0,186.0,184.0,86400,521.7,652125
2021-09-17,181.0,185.0,183.0,86400,524.6,655750
2021-09-20,180.0,184.0,182.0,86400,527.5,659375
2021-09-21,180.0,184.0,182.0,86400,527.5,659375
2021-09-22,181.0,185.0,183.0,86400,524.6,655750
2021-09-23,181.0,185.0,183.0,86400,524.6,655750
2021-09-24,182.0,186.0,184.0,86400,521.7,652125
2021-09-27,182.5,186.5,184.0,86400,521.7,652125
2021-09-28,183.0,187.0,185.0,86400,518.9,648625
2021-09-29,183.0,187.0,185.0,86400,518.9,648625
2021-09-30,182.0,186.0,184.0,86400,521.7,652125
2021-10-01,182.0,186.0,184.0,86400,521.7,652125
2021-10-04,181.0,185.0,183.0,86400,524.6,655750
2021-10-05,181.0,185.0,183.0,86400,524.6,655750
2021-10-06,181.5,185.5,184.0,86400,521.7,652125
2021-10-07,180.5,184.5,182.0,86400,527.5,659375
2021-10-12,181.0,185.0,183.0,86400,524.6,655750
2021-10-13,181.0,185.0,183.0,86400,524.6,655750
2021-10-14,181.5,185.5,184.0,86400,521.7,652125
2021-10-15,182.5,186.5,184.0,86400,521.7,652125
2021-10-18,181.5,185.5,184.0,86400,521.7,652125
2021-10-19,183.0,187.0,185.0,86400,518.9,648625
2021-10-20,184.0,188.0,186.0,86400,516.1,645125
2021-10-21,187.0,191.0,189.0,86400,507.9,634875
2021-10-22,191.0,195.0,193.0,86400,497.4,621750
2021-10-25,190.0,194.0,192.0,86400,500.0,625000
2021-10-26,192.0,196.0,194.0,86400,494.8,618500
2021-10-27,193.0,197.0,195.0,86400,492.3,615375
2021-10-28,194.0,198.0,196.0,86400,489.8,612250
2021-10-29,193.5,197.5,196.0,86400,489.8,612250
2021-11-01,192.5,196.5,194.0,86400,494.8,618500
2021-11-02,193.5,197.5,196.0,86400,489.8,612250
2021-11-03,195.0,199.0,197.0,86400,487.3,609125
2021-11-04,195.0,199.0,197.0,86400,487.3,609125
2021-11-05,195.0,199.0,197.0,86400,487.3,609125
2021-11-08,195.0,199.0,197.0,86400,487.3,609125
2021-11-09,195.5,199.5,198.0,86400,484.8,606000
2021-11-10,201.0,205.0,203.0,86400,472.9,591125
2021-11-11,202.5,206.5,204.0,86400,470.6,588250
2021-11-12,196.0,200.0,198.0,86400,484.8,606000
2021-11-15,195.5,199.5,198.0,86400,484.8,606000
2021-11-16,196.5,200.5,198.0,86400,484.8,606000
2021-11-17,197.5,201.5,200.0,86400,480.0,600000
2021-11-18,197.0,201.0,199.0,86400,482.4,603000
2021-11-19,197.5,201.5,200.0,86400,480.0,600000
2021-11-23,197.0,201.0,199.0,86400,482.4,603000
2021-11-24,196.5,200.5,198.0,86400,484.8,606000
2021-11-25,197.0,201.0,199.0,86400,482.4,603000
2021-11-26,197.0,201.0,199.0,86400,482.4,603000
2021-11-29,197.0,201.0,199.0,86400,482.4,603000
2021-11-30,197.5,201.5,200.0,86400,480.0,600000
2021-12-01,196.5,200.5,198.0,86400,484.8,606000
2021-12-02,196.5,200.5,198.0,86400,484.8,606000
2021-12-03,196.5,200.5,198.0,86400,484.8,606000
2021-12-06,195.0,199.0,197.0,86400,487.3,609125
2021-12-07,194.0,198.0,196.0,86400,489.8,612250
2021-12-09,192.0,196.0,194.0,86400,494.8,618500
2021-12-10,192.5,196.5,194.0,86400,494.8,618500
2021-12-13,191.5,195.5,194.0,86400,494.8,618500
2021-12-14,192.5,196.5,194.0,86400,494.8,618500
2021-12-15,194.5,198.5,196.0,86400,489.8,612250
2021-12-16,194.5,198.5,196.0,86400,489.8,612250
2021-12-17,196.0,200.0,198.0,86400,484.8,606000
2021-12-20,196.0,200.0,198.0,86400,484.8,606000
2021-12-21,195.0,199.0,197.0,86400,487.3,609125
2021-12-22,196.5,200.5,198.0,86400,484.8,606000
2021-12-23,200.0,204.0,202.0,86400,475.2,594000
2021-12-27,199.5,203.5,202.0,86400,475.2,594000
2021-12-28,202.0,206.0,204.0,86400,470.6,588250
2021-12-29,205.0,209.0,207.0,86400,463.8,579750
2021-12-30,204.0,208.0,206.0,86400,466.0,582500
2022-01-03,202.0,206.0,204.0,86400,470.6,588250
2022-01-04,202.5,206.5,204.0,86400,470.6,588250
2022-01-05,203.5,207.5,206.0,86400,466.0,582500
2022-01-06,204.5,208.5,206.0,86400,466.0,582500
2022-01-07,204.0,208.0,206.0,86400,466.0,582500
2022-01-10,202.0,206.0,204.0,86400,470.6,588250
2022-01-11,205.0,209.0,207.0,86400,463.8,579750
2022-01-12,204.5,208.5,206.0,86400,466.0,582500
2022-01-13,205.5,209.5,208.0,86400,461.5,576875
2022-01-14,205.5,209.5,208.0,86400,461.5,576875
2022-01-17,205.0,209.0,207.0,86400,463.8,579750
2022-01-18,207.0,211.0,209.0,86400,459.3,574125
2022-01-19,209.0,213.0,211.0,86400,455.0,568750
2022-01-20,210.0,214.0,212.0,86400,452.8,566000
2022-01-21,215.0,219.0,217.0,86400,442.4,553000
2022-01-24,215.0,219.0,217.0,86400,442.4,553000
